scenario,true_bwer,discovery_fraction,evaluation_fraction,mean_confirmed_contrast,mean_tail_mass_overlap,wald_positive_certificate_rate,wald_lcb_coverage,hoeffding_positive_certificate_rate,hoeffding_lcb_coverage,repetitions
fmow_support_moderate_tail,0.053793103448275814,0.25,0.75,0.010641320287848425,0.2597241379310345,0.154,1.0,0.008,1.0,500
fmow_support_moderate_tail,0.053793103448275814,0.33,0.6699999999999999,0.009087169050905996,0.21896551724137933,0.138,0.998,0.006,1.0,500
fmow_support_moderate_tail,0.053793103448275814,0.5,0.5,0.00882085633381261,0.24158620689655175,0.14,1.0,0.0,1.0,500
fmow_support_moderate_tail,0.053793103448275814,0.67,0.32999999999999996,0.012139703925735646,0.26896551724137935,0.182,0.994,0.004,1.0,500
fmow_support_strong_tail,0.10758620689655163,0.25,0.75,0.0433041150626599,0.45241379310344826,0.72,1.0,0.206,1.0,500
fmow_support_strong_tail,0.10758620689655163,0.33,0.6699999999999999,0.033641139456072,0.3822068965517242,0.558,1.0,0.056,1.0,500
fmow_support_strong_tail,0.10758620689655163,0.5,0.5,0.04596155663658122,0.4562758620689656,0.702,1.0,0.122,1.0,500
fmow_support_strong_tail,0.10758620689655163,0.67,0.32999999999999996,0.05415051314187923,0.52,0.698,1.0,0.09,1.0,500
small_G_two_bad,0.24545454545454543,0.25,0.75,0.18924331167356628,0.5650909090909091,0.712,0.97,0.472,0.998,500
small_G_two_bad,0.24545454545454543,0.33,0.6699999999999999,0.19655503470367708,0.6294545454545455,0.71,0.966,0.412,0.998,500
small_G_two_bad,0.24545454545454543,0.5,0.5,0.21818271257849006,0.663090909090909,0.68,0.964,0.356,0.998,500
small_G_two_bad,0.24545454545454543,0.67,0.32999999999999996,0.22383713004622946,0.7052727272727273,0.528,0.916,0.248,0.996,500
