source,artifact_kind,columns,missing_formal_columns,probability_status,raw_bwer_status,standardised_bwer_status,selective_bwer_status,conformal_bwer_status,inference_status,recommended_action,protocol_hash
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\prithvi_tl_sen1floods11_official_full_512_audit_table.csv,segmentation,dataset;model;model_family;task;split;unit_id;sample_id;event_id;event;country;region;class_label;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;sample_count;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;sensor;mean_confidence;confidence_source;event_id__class_label;event__class_label,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\prithvi_tl_sen1floods11_official_full_512_event_segmentation_metrics.csv,segmentation,dataset;model;model_family;task;split;unit_id;sample_id;event_id;event;country;region;class_label;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;sample_count;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;sensor;mean_confidence;confidence_source,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\prithvi_tl_sen1floods11_official_full_512_segmentation_audit_table.csv,segmentation,dataset;model;model_family;task;split;unit_id;sample_id;event_id;event;country;region;class_label;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;sample_count;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;sensor;mean_confidence;confidence_source,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\prithvi_tl_sen1floods11_official_full_512_segmentation_metrics.csv,segmentation,sample_id;chip_path;mask_path;label;water_fraction;region;event;fallback_group;sensor;source_dataset;band_profile;band_indices;band_names;split;task;latitude;longitude;event_id;dataset;model;model_family;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;unit_id;class_label;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;label_values_distribution;valid_label_values_distribution;prediction_unique_values;prediction_valid_unique_values;prediction_threshold;prediction_score_min;prediction_score_max;prediction_score_mean;prediction_score_std;input_band_order;mask_shape;prediction_shape;input_shape;mask_resize_alignment;input_raw_min;input_raw_max;input_raw_mean;input_raw_std;input_raw_per_band_min;input_raw_per_band_max;input_raw_per_band_mean;input_normalized_min;input_normalized_max;input_normalized_mean;input_normalized_std;input_normalized_per_band_min;input_normalized_per_band_max;input_normalized_per_band_mean;probability_shape;background_prob_min;background_prob_max;background_prob_mean;water_prob_min;water_prob_max;water_prob_mean;water_prob_valid_mean;argmax_class_distribution;positive_class_definition;background_class_definition;ignore_label_definition;confidence_source;confidence_min;confidence_max;confidence_mean;confidence_valid_mean;score;mean_confidence,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\prithvi_tl_sen1floods11_official_full_512_tables_segmentation_metrics.csv,segmentation,sample_id;chip_path;mask_path;label;water_fraction;region;event;fallback_group;sensor;source_dataset;band_profile;band_indices;band_names;split;task;latitude;longitude;event_id;dataset;model;model_family;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;unit_id;class_label;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;label_values_distribution;valid_label_values_distribution;prediction_unique_values;prediction_valid_unique_values;prediction_threshold;prediction_score_min;prediction_score_max;prediction_score_mean;prediction_score_std;input_band_order;mask_shape;prediction_shape;input_shape;mask_resize_alignment;input_raw_min;input_raw_max;input_raw_mean;input_raw_std;input_raw_per_band_min;input_raw_per_band_max;input_raw_per_band_mean;input_normalized_min;input_normalized_max;input_normalized_mean;input_normalized_std;input_normalized_per_band_min;input_normalized_per_band_max;input_normalized_per_band_mean;probability_shape;background_prob_min;background_prob_max;background_prob_mean;water_prob_min;water_prob_max;water_prob_mean;water_prob_valid_mean;argmax_class_distribution;positive_class_definition;background_class_definition;ignore_label_definition;confidence_source;confidence_min;confidence_max;confidence_mean;confidence_valid_mean;score;mean_confidence,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_loeo_unet_sen1floods11_s2_512_audit_table.csv,segmentation,dataset;model;model_family;task;split;unit_id;sample_id;event_id;event;country;region;class_label;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;sample_count;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;sensor;mean_confidence;confidence_source;event_id__class_label;event__class_label,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_loeo_unet_sen1floods11_s2_512_event_segmentation_metrics.csv,segmentation,dataset;model;model_family;task;split;unit_id;sample_id;event_id;event;country;region;class_label;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;sample_count;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;sensor;mean_confidence;confidence_source,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_loeo_unet_sen1floods11_s2_512_loeo_segmentation_metrics.csv,segmentation,sample_id;chip_path;mask_path;label;water_fraction;region;event;fallback_group;sensor;source_dataset;band_profile;band_indices;band_names;split;event_id;dataset;model;model_family;model_variant;display_name;task;input_mode;adaptation_protocol;checkpoint_source;aggregation_level;unit_id;class_label;TP_plus_FN_support;mean_confidence;confidence_source;input_band_order;label_mapping;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;split_protocol;training_budget;held_out_event,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_loeo_unet_sen1floods11_s2_512_segmentation_metrics.csv,segmentation,sample_id;chip_path;mask_path;label;water_fraction;region;event;fallback_group;sensor;source_dataset;band_profile;band_indices;band_names;split;event_id;dataset;model;model_family;model_variant;display_name;task;input_mode;adaptation_protocol;checkpoint_source;aggregation_level;unit_id;class_label;TP_plus_FN_support;mean_confidence;confidence_source;input_band_order;label_mapping;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;split_protocol;training_budget;held_out_event,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_protocol_matched_matched_runs_prithvi_tl_audit_table.csv,segmentation,dataset;model;model_family;task;split;unit_id;sample_id;event_id;event;country;region;class_label;input_mode;adaptation_protocol;training_budget;split_protocol;checkpoint_source;aggregation_level;sample_count;TP_plus_FN_support;valid_pixel_count;positive_pixel_count;predicted_positive_pixel_count;TP;FP;FN;TN;iou;water_iou;micro_iou;dice;f1;micro_dice;micro_f1;precision;recall;pixel_accuracy;ground_truth_positive_pixel_ratio;predicted_positive_pixel_ratio;risk;risk_source;score;sensor;mean_confidence;confidence_source;event_id__class_label;event__class_label,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,upgrade_schema_or_reexport,5bda6974bb099a07027be94e584e770ef5bfe3dd17eb875b1f421a6ea51c6747
