candidate,construct_validity,mathematical_definition,finite_sample_inference,partition_support_robustness,cross_task_transfer,interpretability_adoption,reproducibility_anti_gaming,novelty_geo_specificity,low_use_cost,current_empirical_validation,weighted_total_100
P15_certified_crossfit_BWER_profile,9.5,9,9,7,9,8,9,7,6,3,83.05
P08_error_burden_TV,7.5,8,7,9,9,9,9,5,10,5,79.45
BWER2_fractional_core,9.0,9,6,6,9,9,8,5,9,7,77.1
P06_absolute_Gini_deviation,7.0,8,7,8,9,9,8,3,10,7,75.5
P01_BWER-S_bounded_absolute,9.0,8,6,6,9,8,8,5,9,3,73.7
P18_connected_spatial_C_SWER,8.5,8,8,8,5,9,6,9,3,2,73.65
P16_rich_subgroup_LCB_auditor,8.0,8,7,8,7,8,6,7,4,3,71.8
P13_target_exceedance_inequity,7.0,8,7,7,8,8,7,6,9,2,71.7
P03_spectral_tail_gap,8.5,9,7,6,9,5,5,4,7,4,68.55
P04_expectile_gap,7.0,8,8,6,9,5,6,4,8,2,67.3
P20_graph_TV_risk_envelope_GTV_SWER,8.5,9,6,7,6,6,4,10,2,1,67.05
P17_SPAD_BWER,8.0,8,7,9,5,5,5,8,3,2,66.8
P14_hierarchical_Bayesian_BWER,8.0,8,9,7,7,5,4,5,3,1,66.1
P07_generalized_entropy_Theil,6.0,8,5,8,8,6,7,3,9,4,64.6
P09_Atkinson,5.5,8,6,8,8,6,6,3,9,3,64.05
P10_BWER-N_Lorenz_companion,7.0,6,4,6,9,8,7,4,10,3,63.8
P11_f_DRO_robust_excess,6.5,9,6,7,7,6,5,4,5,3,62.95
P02_Rawlsian_max_excess,8.0,8,2,2,9,9,7,2,10,8,60.8
P19_graph_heat_BWER,8.0,8,6,5,5,5,4,9,3,2,60.3
P05_EVaR_gap,7.5,9,6,5,7,4,5,4,6,2,60.05
BWER1_baseline,7.0,4,3,3,9,9,5,4,9,8,56.5
P12_Wasserstein_distributional_parity,6.5,8,5,5,5,5,5,5,3,1,54.05
