candidate,win_fraction,top3_fraction,mean_rank,median_rank,draws
P15_certified_crossfit_BWER_profile,0.9674,0.9996,1.0341,1.0,10000
P08_error_burden_TV,0.0324,0.9979,2.0473,2.0,10000
BWER2_fractional_core,0.0002,0.7613,3.2059,3.0,10000
P06_absolute_Gini_deviation,0.0,0.1239,4.3736,4.0,10000
P18_connected_spatial_C_SWER,0.0,0.1171,5.3982,5.0,10000
P20_graph_TV_risk_envelope_GTV_SWER,0.0,0.0002,11.6561,11.0,10000
P01_BWER-S_bounded_absolute,0.0,0.0,5.6033,5.0,10000
P16_rich_subgroup_LCB_auditor,0.0,0.0,7.2268,7.0,10000
P13_target_exceedance_inequity,0.0,0.0,7.4193,8.0,10000
P03_spectral_tail_gap,0.0,0.0,9.6468,9.0,10000
P04_expectile_gap,0.0,0.0,11.1814,11.0,10000
P17_SPAD_BWER,0.0,0.0,11.8982,12.0,10000
P14_hierarchical_Bayesian_BWER,0.0,0.0,12.8698,13.0,10000
P07_generalized_entropy_Theil,0.0,0.0,14.0209,14.0,10000
P09_Atkinson,0.0,0.0,15.2269,15.0,10000
P10_BWER-N_Lorenz_companion,0.0,0.0,15.2324,16.0,10000
P11_f_DRO_robust_excess,0.0,0.0,16.6766,17.0,10000
P02_Rawlsian_max_excess,0.0,0.0,17.8686,18.0,10000
P19_graph_heat_BWER,0.0,0.0,18.6695,19.0,10000
P05_EVaR_gap,0.0,0.0,19.16,19.0,10000
BWER1_baseline,0.0,0.0,20.8623,21.0,10000
P12_Wasserstein_distributional_parity,0.0,0.0,21.722,22.0,10000
