Unnamed: 0,category,location_id,image_id,timestamp,polygon,split,latitude,longitude,centroid_lat_std,centroid_lon_std,country,majority_count,total_count,majority_fraction,country_conflict_count,geography_join_level,geography_join_keys,country_resolution,coordinate_resolution,sample_id,archive_path,image_path,metadata_provenance,target_path,extracted_image_path,extracted_path,year,month,season,latitude_band,continent,un_region,region,split_original,group_id,sample_id_original,source_split,site_id,independent_unit_id,class_label,country_class,region_class,dataset,model,task,split_role,model_signature,dataset_signature,protocol_hash,metric_version,label,prediction,risk,log_loss,confidence,normalized_entropy,probabilities_path,probability_row,class_mapping_hash
1317,airport,130,1,2015-07-17T09:48:43Z,"POLYGON ((18.314289217900001 43.809664873034116, 18.35920327454383 43.809664873034116, 18.35920327454383 43.842180675800002, 18.314289217900001 43.842180675800002, 18.314289217900001 43.809664873034116))",test,43.82634226009437,18.328703403831188,3.0497333026499166e-06,7.222542024338374e-07,BIH,2,2,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_130_1_2015-07-17T09:48:43Z,fmow-sentinel/train/airport/airport_130/airport_130_1.tif,fmow-sentinel/train/airport/airport_130/airport_130_1.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_130/airport_130_1.tif,fmow-sentinel/train/airport/airport_130/airport_130_1.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_130/airport_130_1.tif,2015,7,Summer,lat_40_50,Europe,Europe,Southern Europe,train,airport_130,1,val,airport|130,airport_130_1_2015-07-17T09:48:43Z,airport,BIH|airport,Southern Europe|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,5.809216134693713e-22,probabilities.npz,0,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
1322,airport,130,103,2017-10-01T00:00:00Z,"POLYGON ((18.314289217900001 43.809664873034116, 18.35920327454383 43.809664873034116, 18.35920327454383 43.842180675800002, 18.314289217900001 43.842180675800002, 18.314289217900001 43.809664873034116))",test,43.82634226009437,18.328703403831188,3.0497333026499166e-06,7.222542024338374e-07,BIH,2,2,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_130_103_2017-10-01T00:00:00Z,fmow-sentinel/train/airport/airport_130/airport_130_103.tif,fmow-sentinel/train/airport/airport_130/airport_130_103.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_130/airport_130_103.tif,fmow-sentinel/train/airport/airport_130/airport_130_103.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_130/airport_130_103.tif,2017,10,Autumn,lat_40_50,Europe,Europe,Southern Europe,train,airport_130,103,val,airport|130,airport_130_103_2017-10-01T00:00:00Z,airport,BIH|airport,Southern Europe|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,2.0026159006891177e-28,probabilities.npz,1,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
1465,airport,143,4,2017-01-13T11:49:04Z,"POLYGON ((-13.676820382100001 13.716098930705341, -13.631903604212075 13.716098930705341, -13.631903604212075 13.760006089299999, -13.676820382100001 13.760006089299999, -13.676820382100001 13.716098930705341))",test,13.738305461557024,-13.6551130721006,1.180148485935198e-06,1.2950767415489575e-06,SEN,5,5,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_143_4_2017-01-13T11:49:04Z,fmow-sentinel/train/airport/airport_143/airport_143_4.tif,fmow-sentinel/train/airport/airport_143/airport_143_4.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_143/airport_143_4.tif,fmow-sentinel/train/airport/airport_143/airport_143_4.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_143/airport_143_4.tif,2017,1,Winter,lat_10_20,Africa,Africa,Western Africa,train,airport_143,4,val,airport|143,airport_143_4_2017-01-13T11:49:04Z,airport,SEN|airport,Western Africa|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,3.5176128179146346e-24,probabilities.npz,2,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
1551,airport,151,104,2018-10-01T00:00:00Z,"POLYGON ((15.0327655179 32.300908222930133, 15.077680856160562 32.300908222930133, 15.077680856160562 32.339048621899998, 15.0327655179 32.339048621899998, 15.0327655179 32.300908222930133))",test,32.327272391723675,15.055885760416494,1.091508226780643e-06,1.20337194505859e-06,LBY,10,10,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_151_104_2018-10-01T00:00:00Z,fmow-sentinel/train/airport/airport_151/airport_151_104.tif,fmow-sentinel/train/airport/airport_151/airport_151_104.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_151/airport_151_104.tif,fmow-sentinel/train/airport/airport_151/airport_151_104.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_151/airport_151_104.tif,2018,10,Autumn,lat_30_40,Africa,Africa,Northern Africa,train,airport_151,104,val,airport|151,airport_151_104_2018-10-01T00:00:00Z,airport,LBY|airport,Northern Africa|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,1.3807261100577754e-29,probabilities.npz,3,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
1783,airport,181,108,2020-10-01T00:00:00Z,"POLYGON ((-44.258739882100002 -2.6083081115405267, -44.213824526851191 -2.6083081115405267, -44.213824526851191 -2.5631358874300001, -44.258739882100002 -2.5631358874300001, -44.258739882100002 -2.6083081115405267))",test,-2.586228887100538,-44.23645655995452,6.058301625412642e-07,1.2243982735513666e-06,BRA,2,2,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_181_108_2020-10-01T00:00:00Z,fmow-sentinel/train/airport/airport_181/airport_181_108.tif,fmow-sentinel/train/airport/airport_181/airport_181_108.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_181/airport_181_108.tif,fmow-sentinel/train/airport/airport_181/airport_181_108.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_181/airport_181_108.tif,2020,10,Spring,lat_-10_0,America,Americas,South America,train,airport_181,108,val,airport|181,airport_181_108_2020-10-01T00:00:00Z,airport,BRA|airport,South America|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,6.966540517204522e-13,probabilities.npz,4,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
2400,airport,258,104,2018-10-01T00:00:00Z,"POLYGON ((135.58120551799999 34.578334810465492, 135.62612203933736 34.578334810465492, 135.62612203933736 34.615475915799998, 135.58120551799999 34.615475915799998, 135.58120551799999 34.578334810465492))",test,34.598554833180515,135.59631241140295,4.159229687878279e-07,1.408675558828055e-06,JPN,2,2,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_258_104_2018-10-01T00:00:00Z,fmow-sentinel/train/airport/airport_258/airport_258_104.tif,fmow-sentinel/train/airport/airport_258/airport_258_104.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_258/airport_258_104.tif,fmow-sentinel/train/airport/airport_258/airport_258_104.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_258/airport_258_104.tif,2018,10,Autumn,lat_30_40,Asia,Asia,Eastern Asia,train,airport_258,104,val,airport|258,airport_258_104_2018-10-01T00:00:00Z,airport,JPN|airport,Eastern Asia|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,shipyard,1.0,27.631021115928547,1.0,8.776494089141713e-23,probabilities.npz,5,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
2492,airport,270,103,2018-04-01T12:00:00Z,"POLYGON ((36.122340417899998 32.006166314311606, 36.167258639219106 32.006166314311606, 36.167258639219106 32.044429425399997, 36.122340417899998 32.044429425399997, 36.122340417899998 32.006166314311606))",test,32.02631509617726,36.141497584109935,1.5247155876108989e-06,2.934955859676948e-06,JOR,7,7,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_270_103_2018-04-01T12:00:00Z,fmow-sentinel/train/airport/airport_270/airport_270_103.tif,fmow-sentinel/train/airport/airport_270/airport_270_103.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_270/airport_270_103.tif,fmow-sentinel/train/airport/airport_270/airport_270_103.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_270/airport_270_103.tif,2018,4,Spring,lat_30_40,Asia,Asia,Western Asia,train,airport_270,103,val,airport|270,airport_270_103_2018-04-01T12:00:00Z,airport,JOR|airport,Western Asia|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,1.7443493022461301e-22,probabilities.npz,6,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
37,airport,3,106,2019-04-01T12:00:00Z,"POLYGON ((30.5682422179 25.453212170222201, 30.613157936324452 25.453212170222201, 30.613157936324452 25.493984624199999, 30.5682422179 25.493984624199999, 30.5682422179 25.453212170222201))",test,1.3647809356823273,103.90794450985008,10.63250643261319,32.33105241127051,SGP,7,9,0.7777777777777778,2,location_level,"category,location_id",majority_mode,median_centroid,airport_3_106_2019-04-01T12:00:00Z,fmow-sentinel/train/airport/airport_3/airport_3_106.tif,fmow-sentinel/train/airport/airport_3/airport_3_106.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_3/airport_3_106.tif,fmow-sentinel/train/airport/airport_3/airport_3_106.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_3/airport_3_106.tif,2019,4,Spring,lat_0_10,Asia,Asia,South-eastern Asia,train,airport_3,106,val,airport|3,airport_3_106_2019-04-01T12:00:00Z,airport,SGP|airport,South-eastern Asia|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,1.5723159197691093e-14,probabilities.npz,7,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
40,airport,3,109,2020-10-01T00:00:00Z,"POLYGON ((30.5682422179 25.453212170222201, 30.613157936324452 25.453212170222201, 30.613157936324452 25.493984624199999, 30.5682422179 25.493984624199999, 30.5682422179 25.453212170222201))",test,1.3647809356823273,103.90794450985008,10.63250643261319,32.33105241127051,SGP,7,9,0.7777777777777778,2,location_level,"category,location_id",majority_mode,median_centroid,airport_3_109_2020-10-01T00:00:00Z,fmow-sentinel/train/airport/airport_3/airport_3_109.tif,fmow-sentinel/train/airport/airport_3/airport_3_109.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_3/airport_3_109.tif,fmow-sentinel/train/airport/airport_3/airport_3_109.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_3/airport_3_109.tif,2020,10,Autumn,lat_0_10,Asia,Asia,South-eastern Asia,train,airport_3,109,val,airport|3,airport_3_109_2020-10-01T00:00:00Z,airport,SGP|airport,South-eastern Asia|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,9.635036102295658e-10,probabilities.npz,8,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
2821,airport,311,108,2020-04-01T00:00:00Z,"POLYGON ((106.63017921799999 10.797003689062757, 106.67509411839484 10.797003689062757, 106.67509411839484 10.841408772199999, 106.63017921799999 10.841408772199999, 106.63017921799999 10.797003689062757))",test,10.81982052962589,106.64972923345482,2.35974254955916e-06,1.517043913096138e-06,VNM,2,2,1.0,1,location_level,"category,location_id",majority_mode,median_centroid,airport_311_108_2020-04-01T00:00:00Z,fmow-sentinel/train/airport/airport_311/airport_311_108.tif,fmow-sentinel/train/airport/airport_311/airport_311_108.tif,location_level_geography_enrichment,fmow-sentinel/train/airport/airport_311/airport_311_108.tif,fmow-sentinel/train/airport/airport_311/airport_311_108.tif,/content/data/fmow_sentinel_clean_subset_30k_v2/fmow-sentinel/train/airport/airport_311/airport_311_108.tif,2020,4,Spring,lat_10_20,Asia,Asia,South-eastern Asia,train,airport_311,108,val,airport|311,airport_311_108_2020-04-01T00:00:00Z,airport,VNM|airport,South-eastern Asia|airport,fmow_sentinel,dofav2_vit_base_e150,multiclass_classification,evaluation,1b0b2f591cd71e97f21365f38d46c72a83889a454c3f26583296a66b8045e070,4357ccbb5222895a156cd2379c1f94eec5a2ebc84d500ed5563d6f432d2e6dee,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16,geobwer_fractional_1.1,airport,airport,0.0,-0.0,1.0,9.071692371907455e-14,probabilities.npz,9,2cfb4925ecc7e6203d721425b0788fc35e5ea3f03988a42effe0118c347315aa
