axis,group,risk,support,cluster_support,selected_tail_mass,protocol_hash
country,ARE,0.9705882352941176,34,12,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ARG,0.9365079365079365,63,23,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,AUS,0.8947368421052632,38,23,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,BEL,0.9666666666666667,30,16,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,BGD,0.5833333333333334,36,9,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,BHS,1.0,38,8,0.012195121951219513,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,BLR,0.8695652173913043,23,10,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,BOL,0.6296296296296297,27,10,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,BRA,0.8317757009345794,107,36,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,BRB,0.75,20,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CAN,0.7222222222222222,36,18,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CHE,0.7419354838709677,31,12,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CHL,0.9,20,15,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CHN,0.6343283582089553,134,42,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CIV,0.9166666666666666,24,7,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CMR,0.8846153846153846,26,5,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CYP,0.9565217391304348,23,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,CZE,0.9583333333333334,24,6,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,DEU,0.8666666666666667,75,21,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,DJI,1.0,22,2,0.012195121951219513,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,DNK,0.9629629629629629,27,8,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,DZA,0.7804878048780488,41,23,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ECU,0.75,44,13,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,EGY,0.8297872340425532,47,11,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ESP,0.8210526315789474,95,29,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,EST,0.9411764705882353,34,4,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ETH,0.9508196721311475,61,9,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,FLK,0.7272727272727273,22,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,FRA,0.8865979381443299,97,36,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,GBR,0.8515625,128,34,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,GIN,0.9166666666666666,24,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,GRC,0.8928571428571429,28,9,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,GTM,0.8333333333333334,24,9,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,HND,0.9090909090909091,44,8,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,HUN,0.8571428571428571,21,11,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,IDN,0.7083333333333334,48,15,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,IND,0.7540983606557377,122,29,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,IRQ,0.8536585365853658,41,14,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ITA,0.8289473684210527,76,33,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,JPN,0.9152542372881356,59,22,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,KO-,0.52,25,4,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
