axis,group,source_support,accepted_support,coverage,conditional_risk,selective_risk_identified
country,ABW,2,2,1.0,1.0,True
country,AFG,10,10,1.0,1.0,True
country,AIA,9,9,1.0,1.0,True
country,ALB,6,6,1.0,1.0,True
country,AND,11,10,0.9090909090909091,1.0,True
country,ANT,4,4,1.0,0.5,True
country,ARE,34,33,0.9705882352941176,0.9696969696969697,True
country,ARG,63,52,0.8253968253968254,0.9230769230769231,True
country,ATG,7,6,0.8571428571428571,1.0,True
country,AUS,38,34,0.8947368421052632,0.9117647058823529,True
country,AUT,12,10,0.8333333333333334,1.0,True
country,AZE,1,0,0.0,,False
country,BEL,30,27,0.9,0.9629629629629629,True
country,BEN,1,0,0.0,,False
country,BFA,11,11,1.0,0.2727272727272727,True
country,BGD,36,32,0.8888888888888888,0.59375,True
country,BGR,3,2,0.6666666666666666,1.0,True
country,BHR,15,14,0.9333333333333333,0.35714285714285715,True
country,BHS,38,37,0.9736842105263158,1.0,True
country,BIH,2,2,1.0,0.0,True
country,BLR,23,21,0.9130434782608695,0.9047619047619048,True
country,BLZ,12,10,0.8333333333333334,0.6,True
country,BOL,27,23,0.8518518518518519,0.6086956521739131,True
country,BRA,107,96,0.897196261682243,0.8125,True
country,BRB,20,18,0.9,0.7777777777777778,True
country,BRN,15,15,1.0,0.6,True
country,BWA,6,6,1.0,0.3333333333333333,True
country,CA-,17,14,0.8235294117647058,0.7857142857142857,True
country,CAN,36,32,0.8888888888888888,0.6875,True
country,CHE,31,28,0.9032258064516129,0.75,True
country,CHL,20,18,0.9,0.8888888888888888,True
country,CHN,134,128,0.9552238805970149,0.625,True
country,CIV,24,23,0.9583333333333334,0.9130434782608695,True
country,CMR,26,19,0.7307692307692307,0.8947368421052632,True
country,COG,2,2,1.0,1.0,True
country,COL,19,17,0.8947368421052632,0.8235294117647058,True
country,CPV,19,19,1.0,1.0,True
country,CRI,15,15,1.0,0.9333333333333333,True
country,CUB,9,9,1.0,0.7777777777777778,True
country,CYP,23,18,0.782608695652174,0.9444444444444444,True
country,CZE,24,21,0.875,0.9523809523809523,True
country,DEU,75,64,0.8533333333333334,0.859375,True
country,DJI,22,21,0.9545454545454546,1.0,True
country,DNK,27,24,0.8888888888888888,0.9583333333333334,True
country,DOM,6,4,0.6666666666666666,1.0,True
country,DZA,41,37,0.9024390243902439,0.7567567567567568,True
country,ECU,44,42,0.9545454545454546,0.7380952380952381,True
country,EGY,47,44,0.9361702127659575,0.8409090909090909,True
country,ESP,95,84,0.8842105263157894,0.8095238095238095,True
country,EST,34,30,0.8823529411764706,0.9333333333333333,True
country,ETH,61,54,0.8852459016393442,0.9629629629629629,True
country,FIN,7,6,0.8571428571428571,1.0,True
country,FJI,13,12,0.9230769230769231,1.0,True
country,FLK,22,18,0.8181818181818182,0.6666666666666666,True
country,FRA,97,89,0.9175257731958762,0.8876404494382022,True
country,GAB,9,9,1.0,1.0,True
country,GBR,128,115,0.8984375,0.8434782608695652,True
country,GEO,18,17,0.9444444444444444,0.9411764705882353,True
country,GHA,10,10,1.0,1.0,True
country,GIN,24,23,0.9583333333333334,0.9130434782608695,True
country,GLP,4,3,0.75,1.0,True
country,GNB,2,2,1.0,1.0,True
country,GRC,28,25,0.8928571428571429,0.88,True
country,GTM,24,19,0.7916666666666666,0.7894736842105263,True
country,GUF,10,8,0.8,1.0,True
